month,year,day_of_month,early_release,breakfast,lunch
January,2025,6,,Cereal,Chicken Tenders
January,2025,7,,Cereal,"Bean and Cheese Burrito"
January,2025,8,,"Blueberry Pomegranate Breakfast Bar","Mozzarella Breadsticks"
January,2025,9,,"Bagel Sticks with Cream Cheese","Cheese Pizza,Pepperoni Pizza"
January,2025,10,,Cinnamon Crumble Bread,Cheeseburger
January,2025,13,,Cereal,"Yakisoba with Chicken or Vegetables"
January,2025,14,,Breakfast Bread,Chicken Tenders
January,2025,15,,Cereal,"Pancakes with Chicken Sausage and Berry Compote"
January,2025,16,,Cereal,"Cheese Pizza,Pepperoni Pizza"
January,2025,17,,Cinnamon Crumble Bread,Chicken Fillet Sandwich
January,2025,22,,Breakfast Bread,"Orange Chicken with Brown Rice"
January,2025,23,,"Bagel Sticks with Cream Cheese","Cheese Pizza,Pepperoni Pizza"
January,2025,24,,Cereal,Grilled Cheese Sandwich
January,2025,29,,Cereal,Chicken Dumplings
January,2025,30,,Cereal,"Cheese Pizza,Pepperoni Pizza"
January,2025,31,,"Oatmeal Cranberry Breakfast Bar","Teriyaki Chicken with Brown Rice"