month,year,day of month,early release,meal
August,2024,27,,"Burrito Bar, Pizza"
August,2024,28,,"Burrito Bar, Pizza"
August,2024,29,,"Burrito Bar, Pizza"
August,2024,30,,"Burrito Bar, Pizza"
September,2024,3,,"Burrito Bar, Pizza"
September,2024,4,,"Burrito Bar, Pizza"
September,2024,5,,"Burrito Bar, Pizza"
September,2024,6,,"Burrito Bar, Pizza"
September,2024,9,,"Teriyaki Chicken with Brown Rice"
September,2024,10,,"Mozzarella Breadsticks"
September,2024,11,,"Burrito Bar, Pizza"
September,2024,12,,"Ethiopian Simmer Sauce with Chickpeas and Brown rice"
September,2024,13,,"Chicken Fillet Sandwich"
September,2024,16,,"Pasta with Marinara and Mozzarella"
September,2024,17,,"Chicken Tenders with Mashed Potatoes"
September,2024,18,,"Burrito Bar, Pizza"
September,2024,19,,"Burrito Bar, Pizza"
September,2024,20,,"Cheeseburger"
September,2024,23,,"Orange Chicken with Brown Rice"
September,2024,24,,"Mozzarella Breadsticks"
September,2024,25,,"Turkey Sandwich"
September,2024,26,,"Burrito Bar, Pizza"
September,2024,27,,"Chicken Fillet Sandwich"