month,year,day,early_release,breakfast,lunch
March,2025,4,,"Maple Waffles","Pasta with Marinara and Mozzarella"
March,2025,5,,"Bagel Sticks with Cream Cheese","Chicken Tenders"
March,2025,6,,"Sunrise Muffin","Cheese Pizza"
March,2025,7,,"French Toast Sticks","Hamburger"
March,2025,11,,"Scrambled Eggs","Mozzarella Breadsticks"
March,2025,12,,"Chicken and Waffle Sandwich","Pancake and Chicken Sausage"
March,2025,13,,"Cinnamon Crumble","Cheese Pizza"
March,2025,14,,"Honey Cheerios Cereal","Chicken Fillet Sandwich"
March,2025,18,,"Maple Waffles","Turkey Hot Dog"
March,2025,19,true,"Bagel Sticks with Cream Cheese","Turkey Ham Sandwich Cheese Sandwich"
March,2025,20,,"Sunrise Muffin","Cheese Pizza"
March,2025,21,,"French Toast Sticks","Chicken Tenders"